date_raw,text,date,title,sentiment,confidence
2023-04-09,It's like a health potion for gamers! The energy boost is spot on.,2023-04-09,It's like a health potion for gamers! The...,POSITIVE,0.99863201379776
2023-04-07,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,2023-04-07,Really helps me focus during intense gaming marathons....,POSITIVE,0.9998599290847778
2023-04-07,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,2023-04-07,The shoes are nice but they didn't fit...,NEGATIVE,0.9981268048286438
2023-04-05,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",2023-04-05,"Great taste, and the energy kick is awesome....",POSITIVE,0.9998582601547241
2023-04-05,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,2023-04-05,Exceptional beanie! I wear it every time I...,POSITIVE,0.9998824596405029
2023-04-01,Great taste and doesn't give me a crash afterwards.,2023-04-01,Great taste and doesn't give me a crash...,POSITIVE,0.9944359064102173
2023-03-25,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",2023-03-25,"Good quality and fit, but the color is...",POSITIVE,0.9950153231620789
2023-03-25,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",2023-03-25,"The beanie is cute, but the cat ears...",POSITIVE,0.9761042594909668
2023-03-24,"Good quality and comfortable, but a bit pricey.",2023-03-24,"Good quality and comfortable, but a bit pricey....",POSITIVE,0.9997726082801819
2023-03-20,"The orange flavor wasn't my favorite, but the cherry ones are great.",2023-03-20,"The orange flavor wasn't my favorite, but the...",POSITIVE,0.999862790107727
2023-03-20,"Not only does it look cool, but it tastes great and gives a good energy boost!",2023-03-20,"Not only does it look cool, but it...",POSITIVE,0.9998849630355835
2023-03-15,Just what I need for long gaming sessions. Great flavor and energy boost.,2023-03-15,Just what I need for long gaming sessions....,POSITIVE,0.9998794794082642
2023-03-14,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",2023-03-14,Definitely helped me stay focused during my long...,POSITIVE,0.999826967716217
2023-03-14,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",2023-03-14,I love how it gives me the energy...,POSITIVE,0.9997815489768982
2023-03-10,"Finally, an energy drink for gamers! It's just like a mana potion.",2023-03-10,"Finally, an energy drink for gamers! It's just...",NEGATIVE,0.831316351890564
2023-03-10,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",2023-03-10,"I'm not really a cat person, but I...",POSITIVE,0.9998513460159302
2023-03-05,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",2023-03-05,They're a good pair of running shoes for...,POSITIVE,0.9994767308235168
2023-03-05,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",2023-03-05,"The sneakers are fun and eye-catching, but my...",NEGATIVE,0.9975760579109192
2023-03-01,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,2023-03-01,Very comfortable and the leather feels premium. Would...,POSITIVE,0.9988638162612915
2023-02-25,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",2023-02-25,"Great sneakers, but the white ones get dirty...",POSITIVE,0.9987898468971252
2023-02-22,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",2023-02-22,"Love these boots. They're rugged and comfortable, perfect...",POSITIVE,0.9998718500137329
2023-02-20,Perfect for long gaming nights. Love the taste and the cool bottle design.,2023-02-20,Perfect for long gaming nights. Love the taste...,POSITIVE,0.9998824596405029
2023-02-20,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",2023-02-20,"Comfortable, good fit, and the grip is excellent....",POSITIVE,0.9998722076416016
2023-02-20,Good quality and the lights are a nice touch. My kid wears them all the time.,2023-02-20,Good quality and the lights are a nice...,POSITIVE,0.9998800754547119
2023-02-18,"The tropical flavor is really good, and the energy kick is powerful.",2023-02-18,"The tropical flavor is really good, and the...",POSITIVE,0.9998849630355835
2023-02-17,Stunning and comfortable. I wore them to a wedding and got so many compliments.,2023-02-17,Stunning and comfortable. I wore them to a...,POSITIVE,0.9998867511749268
2023-02-15,"The box is nicely packaged, making it a great gift option.",2023-02-15,"The box is nicely packaged, making it a...",POSITIVE,0.9998840093612671
2023-02-15,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,2023-02-15,It's quite nice but a little snug on...,POSITIVE,0.9995028972625732
2023-02-12,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,2023-02-12,The cherry cola flavor is very appealing. Provides...,POSITIVE,0.9998854398727417
2023-02-12,The mint and citrus blend is very refreshing. And the bottle design is great too!,2023-02-12,The mint and citrus blend is very refreshing....,POSITIVE,0.999884843826294
2023-02-10,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,2023-02-10,The berry flavor is intense and delicious. Great...,POSITIVE,0.9998863935470581
2023-01-24,These chocolates are so tasty! Love the variety of flavors.,2023-01-24,These chocolates are so tasty! Love the variety...,POSITIVE,0.9998853206634521
2023-01-23,"Nice sandals, but they run a bit small. I recommend ordering a size up.",2023-01-23,"Nice sandals, but they run a bit small....",POSITIVE,0.9912410378456116
2023-01-15,The design is just epic! And the energy boost is real.,2023-01-15,The design is just epic! And the energy...,POSITIVE,0.9998830556869507
2023-01-15,Really like the design and they're great for running. They're also easy to clean.,2023-01-15,Really like the design and they're great for...,POSITIVE,0.9998383522033691
2023-01-15,These sneakers are worth every penny! They're durable and my kid loves them!,2023-01-15,These sneakers are worth every penny! They're durable...,POSITIVE,0.9998084902763367
2023-01-13,"These are decent boots for hiking, but they took a while to break in.",2023-01-13,"These are decent boots for hiking, but they...",NEGATIVE,0.9876278638839722
2023-01-10,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",2023-01-10,"Impressive build quality and comfort. However, I wish...",POSITIVE,0.9948638081550598
2023-01-10,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,2023-01-10,A must-have for cat lovers. It's adorable and...,POSITIVE,0.9998546838760376
2022-12-25,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",2022-12-25,"I bought this for my daughter, and she...",POSITIVE,0.9998419284820557
2022-12-18,"Bought the large box, and it's lasted quite a while. Great for when you need a sweet treat.",2022-12-18,"Bought the large box, and it's lasted quite...",POSITIVE,0.9998445510864258
2022-12-18,These sandals are a must-have! They look amazing and feel great.,2022-12-18,These sandals are a must-have! They look amazing...,POSITIVE,0.9998792409896851
2022-12-07,Great traction and support. My feet stayed dry even in wet conditions.,2022-12-07,Great traction and support. My feet stayed dry...,NEGATIVE,0.789153516292572
2022-11-25,"Shoes are okay, but the cushioning could be better.",2022-11-25,"Shoes are okay, but the cushioning could be...",POSITIVE,0.5497907400131226
2022-11-25,The shoes are great but the battery life for the lights could be better.,2022-11-25,The shoes are great but the battery life...,NEGATIVE,0.9795311689376831
2022-11-20,"Beautiful shoes, but not very comfortable. Good for short-term wear.",2022-11-20,"Beautiful shoes, but not very comfortable. Good for...",POSITIVE,0.9769037365913391
2022-11-20,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,2022-11-20,Was looking for a good pair of white...,POSITIVE,0.9990917444229126
2022-11-10,These boots are perfect for hiking. They're comfortable and provide excellent support.,2022-11-10,These boots are perfect for hiking. They're comfortable...,POSITIVE,0.9998550415039062
2022-11-05,"A bit pricey, but the quality of the chocolate is worth it.",2022-11-05,"A bit pricey, but the quality of the...",POSITIVE,0.9998667240142822
2022-10-19,"Great boots! The size was perfect, and they're very comfortable.",2022-10-19,"Great boots! The size was perfect, and they're...",POSITIVE,0.9998812675476074
2022-10-14,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",2022-10-14,Great quality for the price. The buckle closure...,POSITIVE,0.9992951154708862
2022-10-05,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",2022-10-05,"Good shoes, but they run a little small....",NEGATIVE,0.696698009967804
2022-10-05,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",2022-10-05,"Nice design and the lights are bright. However,...",POSITIVE,0.6058573722839355
2022-10-05,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",2022-10-05,"Great beanie, but I wish there were more...",POSITIVE,0.9997256398200989
2022-10-02,The cherry flavor is amazing. Will be buying more.,2022-10-02,The cherry flavor is amazing. Will be buying...,POSITIVE,0.999874472618103
2022-09-28,"These boots are durable and comfortable, but they're a bit heavy.",2022-09-28,"These boots are durable and comfortable, but they're...",NEGATIVE,0.9187922477722168
2022-09-27,"The sandals are pretty, but the heel is higher than I expected.",2022-09-27,"The sandals are pretty, but the heel is...",POSITIVE,0.9979238510131836
2022-09-20,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",2022-09-20,A cozy and unique beanie. Received a lot...,POSITIVE,0.9998774528503418
2022-09-15,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",2022-09-15,Best running shoes I've had in a while....,POSITIVE,0.9998080134391785
2022-09-15,Comfortable and fun! My child loves showing off the light-up feature to friends.,2022-09-15,Comfortable and fun! My child loves showing off...,POSITIVE,0.9998830556869507
2022-09-12,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,2022-09-12,They're nice shoes but they felt a little...,POSITIVE,0.8111289739608765
2022-09-10,Nice variety of flavors. The chocolate is rich and smooth.,2022-09-10,Nice variety of flavors. The chocolate is rich...,POSITIVE,0.9998838901519775
2022-08-16,"I bought these as a gift, and they were well received. Will definitely purchase again.",2022-08-16,"I bought these as a gift, and they...",POSITIVE,0.9998778104782104
2022-08-15,Good quality boots. They keep my feet dry and comfortable during long hikes.,2022-08-15,Good quality boots. They keep my feet dry...,POSITIVE,0.9997811913490295
2022-08-10,"These shoes look good, but they wore out a bit faster than I expected.",2022-08-10,"These shoes look good, but they wore out...",NEGATIVE,0.9983672499656677
2022-08-10,"Cool shoes, but the lights stopped working after a few weeks.",2022-08-10,"Cool shoes, but the lights stopped working after...",NEGATIVE,0.9980431795120239
2022-08-07,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,2022-08-07,I got the black ones and they look...,POSITIVE,0.999276340007782
2022-08-03,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,2022-08-03,Absolutely love these sandals! They're so elegant and...,POSITIVE,0.9998863935470581
2022-07-30,Comfortable and sturdy. Perfect for outdoor adventures.,2022-07-30,Comfortable and sturdy. Perfect for outdoor adventures....,POSITIVE,0.9998775720596313
2022-07-22,Absolutely delicious! The orange flavor is my favorite.,2022-07-22,Absolutely delicious! The orange flavor is my favorite....,POSITIVE,0.9998788833618164
2022-07-20,Very happy with my purchase. These shoes provide good support for my morning jogs.,2022-07-20,Very happy with my purchase. These shoes provide...,POSITIVE,0.9998735189437866
2022-07-20,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",2022-07-20,"Bought these for my son's birthday, and they...",POSITIVE,0.9998519420623779
2022-07-18,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",2022-07-18,"These sandals look great, but they're a bit...",NEGATIVE,0.9382970929145813
2022-07-15,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",2022-07-15,Love this Cat Ear Beanie! It's so cute...,POSITIVE,0.9998829364776611
2022-07-10,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,2022-07-10,I love the classic design of these sneakers....,POSITIVE,0.9998236298561096
2022-07-01,"Great shoes for running! Comfortable and stylish, with excellent traction.",2022-07-01,"Great shoes for running! Comfortable and stylish, with...",POSITIVE,0.999876856803894
2022-07-01,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,2022-07-01,My daughter loves these shoes! She doesn't want...,POSITIVE,0.9996999502182007
2022-06-15,These boots are fantastic for hiking. The grip on the soles is really good.,2022-06-15,These boots are fantastic for hiking. The grip...,POSITIVE,0.9998427629470825
2022-06-15,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",2022-06-15,"These shoes are not only stylish, but also...",POSITIVE,0.9998685121536255
2022-06-12,Stylish and comfortable! I love the strappy design.,2022-06-12,Stylish and comfortable! I love the strappy design....,POSITIVE,0.9998836517333984
